Kurzbezeichnung,Landeswahlkreis,Partei
NEOS,4,"NEOS - Das Neue Österreich gemeinsam mit Irmgard Griss, Bürgerinnen und Bürger für Freiheit und Verantwortung"
NEOS,5,"NEOS - Das Neue Österreich gemeinsam mit Irmgard Griss, Bürgerinnen und Bürger für Freiheit und Verantwortung"
NEOS,6,"NEOS - Das Neue Österreich gemeinsam mit Irmgard Griss, Bürgerinnen und Bürger für Freiheit und Verantwortung"
NEOS,7,"NEOS - Das Neue Österreich gemeinsam mit Irmgard Griss, Bürgerinnen und Bürger für Freiheit und Verantwortung"
NEOS,8,"NEOS - Das Neue Österreich gemeinsam mit Irmgard Griss, Bürgerinnen und Bürger für Freiheit und Verantwortung"
NEOS,9,"NEOS - Das Neue Österreich gemeinsam mit Irmgard Griss, Bürgerinnen und Bürger für Freiheit und Verantwortung"
WEIßE,1,Die Weissen - Das Recht geht vom Volk aus. Wir alle entscheiden in Österreich. Die Volksbewegung.
WEIßE,2,Die Weissen - Das Recht geht vom Volk aus. Wir alle entscheiden in Österreich. Die Volksbewegung.
WEIßE,3,Die Weissen - Das Recht geht vom Volk aus. Wir alle entscheiden in Österreich. Die Volksbewegung.
WEIßE,4,Die Weissen - Das Recht geht vom Volk aus. Wir alle entscheiden in Österreich. Die Volksbewegung.
WEIßE,5,Die Weissen - Das Recht geht vom Volk aus. Wir alle entscheiden in Österreich. Die Volksbewegung.
WEIßE,6,Die Weissen - Das Recht geht vom Volk aus. Wir alle entscheiden in Österreich. Die Volksbewegung.
WEIßE,7,Die Weissen - Das Recht geht vom Volk aus. Wir alle entscheiden in Österreich. Die Volksbewegung.
WEIßE,8,Die Weissen - Das Recht geht vom Volk aus. Wir alle entscheiden in Österreich. Die Volksbewegung.
WEIßE,9,Die Weissen - Das Recht geht vom Volk aus. Wir alle entscheiden in Österreich. Die Volksbewegung.
FLÖ,1,Freie Liste Österreich & FPS Liste Dr.Karl Schnell
FLÖ,2,Freie Liste Österreich & FPS Liste Dr.Karl Schnell
FLÖ,3,Freie Liste Österreich & FPS Liste Dr.Karl Schnell
FLÖ,4,Freie Liste Österreich & FPS Liste Dr.Karl Schnell
FLÖ,5,Freie Liste Österreich & FPS Liste Dr.Karl Schnell
FLÖ,6,Freie Liste Österreich & FPS Liste Dr.Karl Schnell
FLÖ,7,Freie Liste Österreich & FPS Liste Dr.Karl Schnell
FLÖ,8,Freie Liste Österreich & FPS Liste Dr.Karl Schnell
FLÖ,9,Freie Liste Österreich & FPS Liste Dr.Karl Schnell
KPÖ,1,Kommunistische Partei Österreichs und Plattform PLUS - offene Liste
KPÖ,2,Kommunistische Partei Österreichs und Plattform PLUS - offene Liste
KPÖ,3,Kommunistische Partei Österreichs und Plattform PLUS - offene Liste
KPÖ,4,Kommunistische Partei Österreichs und Plattform PLUS - offene Liste
KPÖ,5,Kommunistische Partei Österreichs und Plattform PLUS - offene Liste
KPÖ,6,Kommunistische Partei Österreichs und Plattform PLUS - offene Liste
KPÖ,7,Kommunistische Partei Österreichs und Plattform PLUS - offene Liste
KPÖ,8,Kommunistische Partei Österreichs und Plattform PLUS - offene Liste
KPÖ,9,Kommunistische Partei Österreichs und Plattform PLUS - offene Liste
PILZ,1,Liste Peter Pilz
PILZ,2,Liste Peter Pilz
PILZ,3,Liste Peter Pilz
PILZ,4,Liste Peter Pilz
PILZ,5,Liste Peter Pilz
PILZ,6,Liste Peter Pilz
PILZ,7,Liste Peter Pilz
PILZ,8,Liste Peter Pilz
PILZ,9,Liste Peter Pilz
GILT,1,Liste Roland Düringer - Meine Stimme Gilt
GILT,2,Liste Roland Düringer - Meine Stimme Gilt
GILT,3,Liste Roland Düringer - Meine Stimme Gilt
GILT,4,Liste Roland Düringer - Meine Stimme Gilt
GILT,5,Liste Roland Düringer - Meine Stimme Gilt
GILT,6,Liste Roland Düringer - Meine Stimme Gilt
GILT,7,Liste Roland Düringer - Meine Stimme Gilt
GILT,8,Liste Roland Düringer - Meine Stimme Gilt
GILT,9,Liste Roland Düringer - Meine Stimme Gilt
SLP,4,Sozialistische LinksPartei
SLP,9,Sozialistische LinksPartei
CPÖ,8,Christliche Partei Österreichs
M,8,Männerpartei - für ein faires Miteinander
NBZ,8,NBZ - Neue Bewegung für die Zukunft
EUAUS,9,"Für Österreich, Zuwanderungsstopp, Grenzschutz, Neutralität, EU-Austritt"
ODP,9,Obdachlose in der Politik
